Vthroat,Pitch,Trial,VA,AA,PA,RPM
1.07187,-12,1,261.7666667,81.525,21.3405275,373.0833333
1.07187,-12,2,260.4333333,80.2,20.88675333,370.5
1.07187,-12,3,264.8333333,79.825,21.14032083,380.1666667
1.07187,-12,4,260,80.525,20.9365,372
1.07187,-10,1,277.6,80.4,22.31904,410
1.07187,-10,2,279.2,81.425,22.73386,402.6666667
1.07187,-10,3,276.3,83.575,23.0917725,393.4166667
1.07187,-10,4,275.6333333,84.55,23.30479833,410.8333333
1.07187,-8,1,294.2333333,86.7,25.51003,416.3333333
1.07187,-8,2,295.6333333,91.15,26.94697833,413.8333333
1.07187,-8,3,292.6,89.525,26.195015,414.1666667
1.07187,-8,4,291.2,89.7,26.12064,412.5
1.07187,-6,1,301.1333333,90.9,27.37302,426.6666667
1.07187,-6,2,300.7,90.425,27.1907975,426.5
1.07187,-6,3,299.6666667,92.05,27.58431667,430
1.07187,-6,4,299.1,90.05,26.933955,423.6666667
1.07187,-4,1,312.5,93.55,29.234375,433.5
1.07187,-4,2,313.2666667,94.25,29.52538333,438
1.07187,-4,3,313.2666667,94.65,29.65069,441.6666667
1.07187,-4,4,312.3,94.9,29.63727,436
1.07187,-2,1,309.6333333,92.85,28.749455,432.8333333
1.07187,-2,2,312.7666667,93.35,29.19676833,439.8333333
1.07187,-2,3,307.6333333,92.65,28.50222833,437.4166667
1.07187,-2,4,305.1333333,92.275,28.15617833,435.8333333
1.07187,0,1,310.9666667,92.975,28.91212583,436.1666667
1.07187,0,2,309.2666667,94.05,29.08653,433.3333333
1.07187,0,3,310.2666667,94.7,29.38225333,431
1.07187,0,4,312.7333333,94.875,29.670575,434.3333333
1.07187,2,1,297.2,90.75,26.9709,409.3333333
1.07187,2,2,302.1,92.4,27.91404,417.5
1.07187,2,3,299.0666667,92.375,27.62628333,414.8333333
1.07187,2,4,298.9,91.8,27.43902,420
1.07187,4,1,284.0333333,85.2,24.19964,389.5
1.07187,4,2,282.8666667,85.625,24.22045833,388.8333333
1.07187,4,3,284.6,86.325,24.568095,389.6666667
1.07187,4,4,282.6333333,86.125,24.34179583,386
1.07187,6,1,252.4666667,76.675,19.35788167,346.8333333
1.07187,6,2,254.3,78.2,19.88626,349.1666667
1.07187,6,3,253.6333333,78.05,19.79608167,346.1666667
